ID;ISO;COUNTRY;REGION;LOG_TYPE;CATEGORY;MEASURE;TARGETED_POP_GROUP;COMMENTS;NON_COMPLIANCE;DATE_IMPLEMENTED;SOURCE;SOURCE_TYPE
13873;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;checked;Additional border opening to Finland, Iceland, Greenland, the Faroe Islands;Not applicable;12.06.2020;Government;Government
12616;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;checked;Norway to open borders to Denmark;Not applicable;15.06.2020;Government;Government
12617;NOR;Norway;Europe;Phase-out measure;Public health measures;Isolation and quarantine policies;checked;Danish people are exempted from undergoing self-isolation upon arrival ;Not applicable;15.06.2020;Government;Government
13459;NOR;Norway;Europe;Phase-out measure;Social distancing;Limit public gatherings;;Events of up to 200 persons allowed again;Not applicable;15.06.2020;Directorate of Health;Government
13460;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;;Series games in top football allowed again;Not applicable;15.06.2020;Directorate of Health;Government
13877;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Surveillance and monitoring;;Smittestopp contact tracing app suspended, as improving epidemiological situation does not justify collection of private data;Not applicable;15.06.2020;Norwegian Institut of Public Health;Government
13878;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;;Gyms, swimming pools and water parks can open, with contamination measures;Not applicable;15.06.2020;Directorate of Health;Government
13880;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;checked;No entry restrictions for people arriving from Gotland (as only region of Sweden where no border restrictions apply);Not applicable;16.06.2020;Directorate of Health;Government
13881;NOR;Norway;Europe;Phase-out measure;Public health measures;Other public health measures enforced;checked;Changing facilities of sports halls or fitness centres are allowed to be used again;Not applicable;16.06.2020;Directorate of Health;Government
13879;NOR;Norway;Europe;Phase-out measure;Social distancing;Limit public gatherings;checked;Series games in the top football are allowed again;Not applicable;16.06.2020;Directorate of Health;Government
13882;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Requirement to wear protective gear in public;checked;Norwegian introduces a requirement for facemasks;Not applicable;17.06.2020;Norway Today;Media
16087;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Border closure;;The government has opened up for coastal cruises and tourism on Svalbard. ;Not applicable;26.06.2020;The Norwegian Directorate of Health;Government
9437;NOR;Norway;Europe;Phase-out measure;Social distancing;Schools closure;;Summer schools resume;Not applicable;01.07.2020;Times of Malta;Media
16088;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Emergency administrative structures activated or established;;plan communication with the population in the event of local outbreaks of covid-19;Not applicable;08.07.2020;The Norwegian Directorate of Health;Government
16086;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Visa restrictions;;The Government aims to open up travel between Norway and Europe for persons residing in the Schengen and EEA areas from 15 July, if the infection situation so dictates.;Not applicable;15.07.2020;The Norwegian Directorate of Health;Government
16091;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Visa restrictions;;Romantic partners and family members of Norwegians may now come to Norway to visit;Not applicable;15.07.2020;Ministry of Justice and Public Security, Ministry of Foreign Affairs, Ministry of Health and Care Services;Government
16089;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Travel advice for employers and employees in the health service;Not applicable;22.07.2020;The Norwegian Directorate of Health;Government
16090;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;checked;quarantine obligation when entering from Spain and Andorra;Not applicable;24.07.2020;The Norwegian Directorate of Health;Government
18110;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Border closure;checked;Temporary stop against the arrival of ships with more than 100 people (combined for crew and passengers) on board Norwegian ports;Refusal to enter the country;03.08.2020;The Norwegian Directorate of Health;Government
18111;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;;new test criteria for covid-19 will be introduced. The test criteria are changed so that anyone who suspects that they are infected with covid-19 should have the opportunity to be tested without a doctor's assessment.;Not applicable;12.08.2020;The Norwegian Directorate of Health;Government
18112;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;The work with testing has been intensified. so that it will be easier to test and corona test centers will be established at points of arrival in Norway. The Norwegian Directorate of Health expects the municipalities to be able to equip themselves for a test capacity of up to 5 per cent;Not applicable;12.08.2020;The Norwegian Directorate of Health;Government
18113;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Recommends the use of face masks in certain situations;Not applicable;14.08.2020;The Norwegian Directorate of Health;Government
139150;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Border checks;;Control at the internal border, which was introduced on 16 March, will be continued for a further 60 days from 14 August.;Not Available;14.08.2020;Norwegian Goverment;Government
18114;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;checked;All travelers to help limit the risk of infection with covid-19 entering Norway. Be tested for covid-19 when they come to Norway. The test is voluntary and free for the person being tested. The testing takes place at the test station at the point of arrival.;Not applicable;25.08.2020;The Norwegian Directorate of Health;Government
139146;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;Increased unemployment benefit rate. The Storting has approved the government's proposal to extend the increased unemployment benefit rate for the rest of the year. ;Not Applicable;27.08.2020;Norwegian Goverment;Government
139151;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Visa restrictions;;Change in entry restrictions for employees in non-profit, religious and humanitarian organizations. The change means that entry is opened for foreigners who are granted a residence permit in accordance with the Immigration Regulations § 6-23, ie employees in non-profit, religious and humanitarian organizations.;Not Available;01.09.2020;Norwegian Goverment;Government
139162;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Closure of businesses and public services;;"A ban on the implementation of tourism activities in the form of cruises on Svalbard is introduced
";Not Available;03.09.2020;Norwegian Goverment;Government
139163;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;The government will cover the municipal sector's expenses for testing and infection tracing. The government aims to cover all necessary costs in the municipalities for testing, isolation, tracking and quarantine.;Not Applicable;04.09.2020;Norwegian Goverment;Government
18115;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;Intensifies the work with testing and infection tracking;Not applicable;10.09.2020;The Norwegian Directorate of Health;Government
18116;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;;Revised guide for infection control in public transport (bus, train, tram, etc.);Not applicable;11.09.2020;The Norwegian Directorate of Health;Government
18117;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;;Revised infection control guide for companies with one-to-one contact such as hairdressers, body care, etc.;Not applicable;12.09.2020;The Norwegian Directorate of Health;Government
139137;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;"The government facilitates flexible arrangements if schools or kindergartens close due to local outbreaks of coronary heart disease. If the school or kindergarten closes, parents are entitled to care allowance. This also applies when certain school classes or entire steps are quarantined.

";Not Applicable;15.09.2020;Norwegian Goverment;Government
139164;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;;The exemption for business travelers from Sweden is extended to also apply to Finland. The provision is tightened so that it only applies to commuters who are also required to test every seven days. ;Not Available;15.09.2020;Norwegian Goverment;Government
139165;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;As long as the employer can plan the need for personnel, personnel working in critical societal functions must also adhere to the same rules for quarantine and testing as everyone else.;Not Available;15.09.2020;Norwegian Goverment;Government
139166;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;Aircraft personnel who have been ashore and areas with a quarantine obligation must be in the quarantine of entry. This is changed by granting a new exemption from the entry quarantine for flight personnel. ;Not Available;15.09.2020;Norwegian Goverment;Government
139167;NOR;Norway;Europe;Phase-out measure;Public health measures;Isolation and quarantine policies;;The government makes exceptions from entry restrictions and quarantine obligations for players and support staff participating in international matches and international club tournaments under the auspices of the European Football Association (UEFA).;Not Applicable;15.09.2020;Norwegian Goverment;Government
117896;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;The National Competence Service for Aging and Health introduces an e-learning course in palliative care, nursing and treatment of elderly and seriously ill people with covid-19, who live at home or in a nursing home.;Not Applicable;16.09.2020;The Norwegian Directorate of Health;Government
117897;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;The Ministry of Foreign Affairs advises against non-essential travel to Estonia, the region of Etelä-Savo in Finland, and to North Jutland and the region of Zealand in Denmark. Consequently, the entire country of Denmark will now be classified as ‘red’.;Not Applicable;17.09.2020;Norwegian Goverment;Government
139168;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Strengthening the public health system;;Norway has today confirmed through a letter to the vaccine alliance GAVI that we are participating in the Covax collaboration with the EU to ensure global access to covid-19 vaccines.;Not Applicable;18.09.2020;Norwegian Goverment;Government
139169;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;;Municipalities can ban or restrict private gatherings to stop local outbreaks. The municipalities are now receiving guidance on how they can do this in a new circular from the Ministry of Health and Care Services.;Not Available;21.09.2020;Norwegian Goverment;Government
139145;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Requirement to wear protective gear in public;;People in Oslo must wear a mask when using public transportation. ;Fines;29.09.2020;Sunnmørsposten;Media
139135;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;;Seasonal flu vaccine cheaper for risk groups. Patients who are in risk groups can get the flu vaccine from their GP for a deductible of NOK 50. For patients who have reached the deductible ceiling and received a free card, the vaccine will be free.;Not Applicable;01.10.2020;Norwegian Goverment;Government
139136;NOR;Norway;Europe;Phase-out measure;Social distancing;Closure of businesses and public services;;The Norwegian Directorate of Health and the National Institute of Public Health have revised the guide for infection control in sports. From 12 October, grassroots sports will reopen phase 1, except in municipalities and regions with increased infection or local outbreaks.;Not Applicable;12.10.2020;Norwegian Goverment;Government
139170;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;The government is now amending the covid-19 regulations to facilitate the national infection control measures. At the same time, municipalities with local outbreaks must consider stricter measures. ;Not Available;12.10.2020;Norwegian Goverment;Government
139171;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Other public health measures enforced;;Government decides that when a vaccine against covid-19 arrives, it will be free for the population. The state will also cover the municipalities 'and hospitals' costs related to vaccination.;Not Applicable;13.10.2020;Norwegian Goverment;Government
139173;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;The Ministry of Foreign Affairs advises against travel that is not strictly necessary to six hospital districts in Finland.;Not Available;15.10.2020;Norwegian Goverment;Government
139172;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;"NOK 130 million to established schemes in the cultural sector to stimulate activity
";Not Applicable;19.10.2020;Norwegian Goverment;Government
139160;NOR;Norway;Europe;Phase-out measure;Movement restrictions;Visa restrictions;;From October 21, several family members, including grandparents, from third countries can visit relatives in Norway. The rules on entry quarantine do not change, and the general requirements for travel documents, visas, etc;Not Applicable;21.10.2020;Norwegian Goverment;Government
139174;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;The Ministry of Foreign Affairs advises against all travel that is not strictly necessary to all countries. The travel advice is valid until 15 January.;Not Applicable;21.10.2020;Norwegian Goverment;Government
140961;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;;In private homes, gardens or cottages, one should not have more than 5 guests in addition to household members. If all the guests are from the same household, there can be several. This means that two families can meet even if they have many children. Children are generally excluded from this rule. ;Not Available;28.10.2020;Norwegian Goverment;Government
140962;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;"It is recommended that everyone meet with fewer people in social contexts, for a shorter time and not with too many different people during a week.
";Not Available;28.10.2020;Norwegian Goverment;Government
140963;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;;Private gatherings in a public place or in rented or borrowed premises shall have a limit of a maximum of 50 participants.;Not Available;28.10.2020;Norwegian Goverment;Government
140964;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Today's access to have 600 people present at outdoor events is limited to events where everyone in the audience sits in fixed seats.;Not Available;28.10.2020;Norwegian Goverment;Government
140965;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Testing policy;;Employees who have the quarantine of leisure shall be tested every three days and be accommodated in private rooms for the first ten days in the country. ;Not Available;28.10.2020;Norwegian Goverment;Government
140966;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Local authorities can tighten measures in case of local outbreaks.;Not Applicable;28.10.2020;Norwegian Goverment;Government
140969;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Visa restrictions;;The temporary law on on entry restrictions for foreigners for reasons of public health extended until 1 June 2021. The law means that there are restrictions on entry for foreigners who would otherwise have legal access to travel into Norway.;Refusal to Enter the Country;30.10.2020;Norwegian Goverment;Government
140970;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;The government strengthens and expands the compensation scheme for tourism. The limit will be increased to NOK 2.8 billion and the scheme will be extended until February.;Not Applicable;30.10.2020;Norwegian Goverment;Government
140971;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;Those who are in quarantine and develop symptoms must isolate themselves immediately until a possible negative test result is available. The quarantine period of 10 days must be completed in full, even if one gets a negative answer to the test.;Not Available;30.10.2020;Norwegian Goverment;Government
140972;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;Everyone who has been in close contact with an infected person is required to be in quarantine. and close contacts of the infected person are recommended to be tested;Not Available;30.10.2020;Norwegian Goverment;Government
140973;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;;Adults in the same household who are in quarantine at the same time should keep their distance from each other;Not Available;30.10.2020;Norwegian Goverment;Government
140967;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;The Ministry of Foreign Affairs advises against travel that is not strictly necessary to the districts of Kymmenedalen, Norra Österbottens, Norra Savolax and Åland in Finland.;Not Available;31.10.2020;Norwegian Goverment;Government
140968;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;checked;All travelers from Kymmenedalen, Norra Österbottens, Norra Savolax and Åland in Finland who come to Norway from midnight, night to Saturday 31 October, will be quarantined for ten day;Not Available;31.10.2020;Norwegian Goverment;Government
140974;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;NOK 1.4 billion in compensation to the cultural sector.;Not Applicable;04.11.2020;Norwegian Goverment;Government
140975;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;;Recommendation that everyone stay at home and limit social contact with other people.;Not Available;05.11.2020;Norwegian Goverment;Government
140976;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Young people and adults who have been with friends and in other situations where there has not been a meter distance should keep a distance of two meters from people in the risk group.;Not Available;05.11.2020;Norwegian Goverment;Government
140977;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;Avoid unnecessary domestic travel. Business trips that are considered necessary and trips to leisure properties that can be carried out without contact with others are excluded. ;Not Available;05.11.2020;Norwegian Goverment;Government
140978;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;All universities, colleges and vocational colleges must assess whether in the period ahead they can reduce teaching and other activities that contribute to increased mobility, including pressure on public transport.;Not Applicable;05.11.2020;Norwegian Goverment;Government
140979;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;Upper secondary schools and upper secondary schools must prepare for the fact that the level of measures may turn red if the infection rises further. ;Not Applicable;05.11.2020;Norwegian Goverment;Government
140985;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;Intermediate subsidy scheme for commercial bus and passenger boat routes will be extended corresponding to a grant of a grant of NOK 100 million in the first half of 2021;Not Applicable;06.11.2020;Norwegian Goverment;Government
140981;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Closure of businesses and public services;;National bar stop at 24.00. Restaurants with a liquor license can not let in new guests after kl. 22.00. ;Not Available;07.11.2020;Norwegian Goverment;Government
140983;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;The Ministry of Foreign Affairs advises against travel that is not strictly necessary to the districts of Östra Savolax, Lapland and Länsi-Pohja in Finland.;Not Available;07.11.2020;Norwegian Goverment;Government
140984;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;Isolation and quarantine policies;checked;All travelers from the districts of Östra Savolax, Lapland and Länsi-Pohja in Finland who come to Norway from midnight, night until Saturday 7 November, will be quarantined for ten days.;Refusal to Enter the Country;07.11.2020;Norwegian Goverment;Government
140980;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;;The limit is then up to 50 people at indoor events without fixed seats and up to 200 people at events where everyone in the audience sits in fixed seats.;Not Available;09.11.2020;Norwegian Goverment;Government
140982;NOR;Norway;Europe;Introduction / extension of measures;Movement restrictions;Visa restrictions;checked;Travelers from red countries must present a certificate of negative covid-19 test when they arrive in Norway. The test must be taken less than 72 hours before entry. If the person does not present such a test, he or she may be refused entry. ;Refusal to Enter the Country;09.11.2020;Norwegian Goverment;Government
141927;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;People are advised to stay at home as much as possible and have the least possible social contact with others. Advise extended for at least 3 more weeks.;Not Applicable;25.11.2020;Norwegian Goverment;Government
141928;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;;One should not have more than five guests in addition to household members in their private homes or cottages. Two families can meet even if they have many children. The restriction that you should not have more than five guests does not apply to kindergarten or primary school cohorts. Measure extended for at least 3 more weeks.;Not Available;25.11.2020;Norwegian Goverment;Government
141929;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;checked;Young people and adults who have been with friends and in other situations where there has not been a meter distance, should keep two meters distance to people in the risk group. Advise extended for at least 3 more weeks.;Not Applicable;25.11.2020;Norwegian Goverment;Government
142715;NOR;Norway;Europe;Introduction / extension of measures;Governance and socio-economic measures;Economic measures;;300 million for restructuring in the tourism industry.;Not Applicable;02.12.2020;Norwegian Goverment;Government
142706;NOR;Norway;Europe;Introduction / extension of measures;Social distancing;Limit public gatherings;;"If you are unable to carry out the Christmas party at least one meter away if you invite 10 guests, you must invite fewer.
";Not Available;24.12.2020;Norwegian Goverment;Government
142707;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;If you come from high-infection areas, you should keep a distance of 2 meters from people at risk during Christmas celebrations.;Not Available;24.12.2020;Norwegian Goverment;Government
142714;NOR;Norway;Europe;Introduction / extension of measures;Public health measures;General recommendations;;The government will facilitate open churches with church walks at Christmas. This means that people can enter the church room, light a candle and listen to the music being played. The prerequisite is that it is arranged that it is always possible to keep a distance from each other, that there are no more than 50 people present at the same time and that you register who goes in and out of the church.;Not Available;24.12.2020;Norwegian Goverment;Government
;;;;Introduction / extension of measures;Social distancing;Limit public gatherings;;"Recommendation that you can have up to 5 guests over the New Year.
";Not Available;31.12.2020;Norwegian Goverment;Government
